@relation flink_release-0.8.1
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.011,0.0,0.007,0.0,0.0,0.011,0.5,0.0,0.02,0.004,0.588,0.007,0.018,0.005,0.021,0.003,0.129,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.011,0.0,0.007,0.0,0.0,0.008,0.5,0.0,0.041,0.004,0.588,0.007,0.018,0.005,0.021,0.003,0.129,0.001,0.074,0.077,0.087,0.042,0.1,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.083,0.001,0.0,-1.0
0.0,0.0,0.007,0.0,0.0,0.007,0.0,0.0,0.02,0.004,0.588,0.007,0.018,0.005,0.021,0.003,0.129,0.001,0.037,0.077,0.065,0.036,0.1,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.048,0.001,0.0,-1.0
0.022,0.0,0.007,0.0,0.0,0.016,0.5,0.0,0.061,0.004,0.588,0.007,0.018,0.005,0.021,0.003,0.129,0.001,0.111,0.115,0.239,0.097,0.0,0.094,0.118,0.5,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.4,0.0,0.0,0.0,0.155,0.001,0.0,-1.0
0.0,0.0,0.007,0.0,0.0,0.005,0.0,0.0,0.041,0.004,0.588,0.007,0.018,0.005,0.021,0.003,0.129,0.001,0.074,0.038,0.0,0.018,0.1,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.001,0.0,-1.0
0.129,0.0,0.064,0.0,0.0,0.106,0.79,0.004,0.163,0.004,0.706,0.007,0.018,0.005,0.022,0.003,0.143,0.001,0.093,0.06,0.06,0.044,0.088,0.025,0.066,0.032,0.004,0.0,0.034,0.012,0.019,0.038,0.043,0.088,0.045,0.0,0.0,0.123,0.003,0.0,-1.0
0.011,0.0,0.014,0.0,0.0,0.008,0.5,0.0,0.02,0.004,0.706,0.007,0.018,0.005,0.022,0.003,0.143,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.011,0.0,0.007,0.0,0.0,0.01,0.5,0.0,0.02,0.004,0.706,0.007,0.018,0.005,0.022,0.003,0.143,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.007,0.0,0.0,0.008,0.0,0.0,0.041,0.004,0.706,0.007,0.018,0.005,0.022,0.003,0.143,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.022,0.0,0.014,0.0,0.0,0.01,0.5,0.0,0.02,0.004,0.706,0.007,0.018,0.005,0.022,0.003,0.143,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
