@relation jena_jena-3.13.1
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.0,0.0,0.004,0.0,0.0,0.001,0.0,0.0,0.087,0.003,0.15,0.003,0.015,0.003,0.019,0.002,0.032,0.0,0.125,0.019,0.122,0.009,0.0,0.005,0.167,0.0,0.0,0.0,0.0,0.004,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.001,0.0,0.0,0.065,0.003,0.133,0.003,0.013,0.003,0.017,0.001,0.028,0.0,0.125,0.019,0.098,0.009,0.0,0.005,0.167,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.001,0.0,0.0,0.109,0.004,0.15,0.004,0.019,0.004,0.024,0.002,0.033,0.0,0.167,0.019,0.171,0.009,0.0,0.008,0.167,0.0,0.0,0.083,0.0,0.003,0.0,0.008,0.0,0.091,0.0,0.0,0.0,0.036,0.0,0.0,-1.0
0.004,0.0,0.008,0.0,0.0,0.003,0.835,0.0,0.152,0.007,0.3,0.007,0.027,0.007,0.036,0.004,0.067,0.001,0.188,0.029,0.049,0.007,0.0,0.005,0.25,0.1,0.0,0.0,0.0,0.0,0.006,0.008,0.0,0.045,0.0,0.0,0.0,0.021,0.0,0.0,-1.0
0.004,0.0,0.004,0.0,0.0,0.001,0.5,0.0,0.087,0.007,0.3,0.007,0.027,0.007,0.036,0.004,0.067,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.002,0.0,0.0,0.043,0.003,0.15,0.003,0.015,0.003,0.019,0.002,0.028,0.0,0.125,0.038,0.098,0.01,0.0,0.005,0.167,0.2,0.0,0.0,0.0,0.001,0.0,0.005,0.0,0.091,0.0,0.0,0.0,0.019,0.0,0.0,-1.0
0.004,0.0,0.019,0.0,0.0,0.006,1.0,0.0,0.37,0.015,0.283,0.018,0.052,0.017,0.059,0.011,0.09,0.002,0.155,0.019,0.029,0.005,0.008,0.001,0.485,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.043,0.015,0.283,0.018,0.052,0.017,0.059,0.011,0.09,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.004,0.0,0.008,0.0,0.0,0.002,0.835,0.0,0.174,0.015,0.283,0.018,0.052,0.017,0.059,0.011,0.09,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.283,0.018,0.052,0.017,0.059,0.011,0.09,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
