@relation nifi_rel-nifi-0.6.1
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.012,0.0,0.012,0.0,0.0,0.004,0.5,0.0,0.0,0.288,0.769,0.276,0.339,0.283,0.352,0.244,0.536,0.156,0.0,0.048,0.0,0.027,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.001,0.0,-1.0
0.047,0.0,0.046,0.0,0.333,0.064,0.575,0.01,0.05,0.045,0.712,0.04,0.079,0.043,0.097,0.03,0.297,0.011,0.134,0.18,0.088,0.118,0.152,0.07,0.174,0.055,0.079,0.022,0.0,0.0,0.049,0.06,0.016,0.206,0.0,0.0,0.0,0.095,0.001,0.0,-1.0
0.012,0.0,0.012,0.0,0.333,0.006,0.665,0.007,0.008,0.045,0.712,0.04,0.079,0.043,0.097,0.03,0.297,0.011,0.0,0.048,0.02,0.027,0.045,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,-1.0
0.017,0.0,0.012,0.0,0.0,0.032,0.5,0.003,0.041,0.045,0.712,0.04,0.079,0.043,0.097,0.03,0.297,0.011,0.1,0.333,0.095,0.188,0.091,0.074,0.096,0.25,0.156,0.066,0.058,0.0,0.015,0.068,0.0,0.381,0.0,0.0,0.0,0.088,0.001,0.0,-1.0
0.058,0.018,0.036,0.0,0.0,0.135,0.57,0.007,0.132,0.131,0.846,0.139,0.225,0.134,0.243,0.109,0.438,0.057,0.195,0.279,0.169,0.248,0.118,0.248,0.336,0.175,0.141,0.1,0.053,0.03,0.141,0.204,0.1,0.25,0.04,0.0,0.0,0.33,0.005,0.023,-1.0
0.0,0.0,0.003,0.0,0.0,0.011,0.0,0.0,0.0,0.131,0.846,0.139,0.225,0.134,0.243,0.109,0.438,0.057,0.0,0.19,0.082,0.161,0.364,0.148,0.143,0.0,0.118,0.2,0.0,0.013,0.088,0.103,0.0,0.143,0.0,0.0,0.0,0.164,0.002,0.0,-1.0
0.465,0.065,0.483,0.0,0.333,0.859,0.53,0.135,0.934,0.72,0.904,0.721,0.883,0.721,0.883,0.709,0.628,0.528,0.19,0.152,0.165,0.141,0.083,0.079,0.166,0.092,0.114,0.09,0.005,0.01,0.028,0.081,0.023,0.126,0.012,0.0,0.0,0.189,0.001,0.024,1.0
0.012,0.0,0.006,0.0,0.0,0.023,0.5,0.0,0.05,0.72,0.904,0.721,0.883,0.721,0.883,0.709,0.628,0.528,0.05,0.095,0.0,0.054,0.0,0.0,0.143,0.0,0.118,0.0,0.0,0.013,0.0,0.026,0.0,0.143,0.0,0.0,0.0,0.118,0.001,0.0,1.0
0.012,0.0,0.006,0.0,0.0,0.012,0.5,0.0,0.025,0.72,0.904,0.721,0.883,0.721,0.883,0.709,0.628,0.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.006,0.0,0.006,0.0,0.0,0.011,0.5,0.007,0.05,0.72,0.904,0.721,0.883,0.721,0.883,0.709,0.628,0.528,0.134,0.063,0.17,0.089,0.121,0.074,0.0,0.0,0.039,0.066,0.0,0.009,0.0,0.051,0.024,0.096,0.0,0.0,0.0,0.115,0.001,0.061,1.0
0.017,0.0,0.012,0.0,0.0,0.005,0.5,0.007,0.008,0.72,0.904,0.721,0.883,0.721,0.883,0.709,0.628,0.528,0.016,0.048,0.0,0.027,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.001,0.0,1.0
0.0,0.0,0.04,0.0,0.0,0.098,0.0,0.014,0.157,0.121,0.481,0.119,0.163,0.12,0.172,0.092,0.313,0.035,0.215,0.139,0.195,0.13,0.118,0.114,0.23,0.175,0.082,0.0,0.0,0.057,0.027,0.089,0.003,0.093,0.0,0.0,0.0,0.136,0.009,0.0,-1.0
