,Project,Version,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,index
277332,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,20.0,-1.0,2.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.5,1.0,0.5,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.5,0.0,36
277333,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,20.0,-1.0,2.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,7.0,0.0,36
277334,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,20.0,-1.0,2.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
277335,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,3.0,22.0,-1.0,2.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
277336,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,3.0,22.0,-1.0,2.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,4.5,1.0,4.0,4.0,1.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,7.0,5.5,0.0,36
277337,avro,release-1.8.0,False,2.0,0.0,2.0,0.0,1.0,29.0,0.4,3.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.67,1.0,0.0,3.33,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,6.67,2.33,0.0,36
277338,avro,release-1.8.0,False,2.0,0.0,3.0,0.0,1.0,29.0,0.4,3.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,0.0,0.5,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
277339,avro,release-1.8.0,False,3.0,0.0,0.0,0.0,0.0,69.0,0.0,26.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,1.25,3.0,2.25,7.25,1.0,0.5,1.75,0.0,0.75,0.0,0.0,1.0,0.25,1.25,0.5,0.75,0.0,0.0,0.0,6.5,2.0,0.0,36
277340,avro,release-1.8.0,False,2.0,0.0,24.0,2.0,0.0,167.0,0.0,0.0,17.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.64,1.0,1.09,3.09,0.91,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,13.36,13.27,0.0,36
277341,avro,release-1.8.0,False,0.0,0.0,2.0,0.0,1.0,14.0,-1.0,0.0,2.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,3.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,36
277342,avro,release-1.8.0,False,0.0,0.0,0.0,0.0,1.0,14.0,-1.0,2.0,2.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,4.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,36
277343,avro,release-1.8.0,False,3.0,0.0,21.0,1.0,0.0,145.0,0.0,0.0,4.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,4.0,1.0,1.9,3.2,0.9,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,14.0,15.7,0.0,36
277344,avro,release-1.8.0,False,0.0,0.0,3.0,0.0,1.0,26.0,-1.0,0.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,3.5,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,36
277345,avro,release-1.8.0,False,2.0,0.0,21.0,0.0,0.0,140.0,0.0,0.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,4.62,0.92,1.85,2.77,0.92,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.69,0.92,0.0,36
277346,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,3.0,16.0,-1.0,2.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,5.0,1.0,4.5,4.0,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.0,5.5,0.0,36
277347,avro,release-1.8.0,False,4.0,0.0,23.0,0.0,0.0,155.0,0.0,2.0,4.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,4.92,1.0,3.5,3.33,0.92,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,16.0,1.17,0.0,36
